Record Length;2,50E+03;;-0,000216;0,098
Sample Interval;2,00E-07;;-0,0002158;0,098
Trigger Point;1,08E+03;;-0,0002156;0,096
;;;-0,0002154;0,1
;;;-0,0002152;0,102
;;;-0,000215;0,098
Source;CH2;;-0,0002148;0,098
Vertical Units;V;;-0,0002146;0,1
Vertical Scale;5,00E-02;;-0,0002144;0,1
Vertical Offset;2,40E-02;;-0,0002142;0,102
Horizontal Units;s;;-0,000214;0,1
Horizontal Scale;5,00E-05;;-0,0002138;0,1
Pt Fmt;Y;;-0,0002136;0,096
Yzero;0,00E+00;;-0,0002134;0,098
Probe Atten;1,00E+00;;-0,0002132;0,1
Model Number;TBS1072B-EDU;;-0,000213;0,1
Serial Number;C015526;;-0,0002128;0,1
Firmware Version;FV:v4,06;;-0,0002126;0,1
;;;-0,0002124;0,1
;;;-0,0002122;0,098
;;;-0,000212;0,1
;;;-0,0002118;0,1
;;;-0,0002116;0,1
;;;-0,0002114;0,098
;;;-0,0002112;0,098
;;;-0,000211;0,1
;;;-0,0002108;0,1
;;;-0,0002106;0,1
;;;-0,0002104;0,1
;;;-0,0002102;0,098
;;;-0,00021;0,1
;;;-0,0002098;0,098
;;;-0,0002096;0,1
;;;-0,0002094;0,098
;;;-0,0002092;0,098
;;;-0,000209;0,098
;;;-0,0002088;0,096
;;;-0,0002086;0,098
;;;-0,0002084;0,1
;;;-0,0002082;0,096
;;;-0,000208;0,098
;;;-0,0002078;0,1
;;;-0,0002076;0,096
;;;-0,0002074;0,1
;;;-0,0002072;0,098
;;;-0,000207;0,098
;;;-0,0002068;0,098
;;;-0,0002066;0,098
;;;-0,0002064;0,098
;;;-0,0002062;0,1
;;;-0,000206;0,096
;;;-0,0002058;0,098
;;;-0,0002056;0,098
;;;-0,0002054;0,1
;;;-0,0002052;0,1
;;;-0,000205;0,096
;;;-0,0002048;0,096
;;;-0,0002046;0,098
;;;-0,0002044;0,096
;;;-0,0002042;0,098
;;;-0,000204;0,098
;;;-0,0002038;0,098
;;;-0,0002036;0,098
;;;-0,0002034;0,098
;;;-0,0002032;0,098
;;;-0,000203;0,098
;;;-0,0002028;0,098
;;;-0,0002026;0,096
;;;-0,0002024;0,098
;;;-0,0002022;0,096
;;;-0,000202;0,096
;;;-0,0002018;0,096
;;;-0,0002016;0,096
;;;-0,0002014;0,098
;;;-0,0002012;0,098
;;;-0,000201;0,094
;;;-0,0002008;0,096
;;;-0,0002006;0,096
;;;-0,0002004;0,096
;;;-0,0002002;0,098
;;;-0,0002;0,096
;;;-0,0001998;0,094
;;;-0,0001996;0,096
;;;-0,0001994;0,098
;;;-0,0001992;0,096
;;;-0,000199;0,094
;;;-0,0001988;0,094
;;;-0,0001986;0,094
;;;-0,0001984;0,096
;;;-0,0001982;0,098
;;;-0,000198;0,096
;;;-0,0001978;0,094
;;;-0,0001976;0,096
;;;-0,0001974;0,094
;;;-0,0001972;0,094
;;;-0,000197;0,094
;;;-0,0001968;0,094
;;;-0,0001966;0,096
;;;-0,0001964;0,096
;;;-0,0001962;0,094
;;;-0,000196;0,094
;;;-0,0001958;0,094
;;;-0,0001956;0,094
;;;-0,0001954;0,094
;;;-0,0001952;0,096
;;;-0,000195;0,094
;;;-0,0001948;0,094
;;;-0,0001946;0,094
;;;-0,0001944;0,094
;;;-0,0001942;0,094
;;;-0,000194;0,094
;;;-0,0001938;0,094
;;;-0,0001936;0,094
;;;-0,0001934;0,096
;;;-0,0001932;0,094
;;;-0,000193;0,094
;;;-0,0001928;0,094
;;;-0,0001926;0,092
;;;-0,0001924;0,092
;;;-0,0001922;0,092
;;;-0,000192;0,09
;;;-0,0001918;0,092
;;;-0,0001916;0,094
;;;-0,0001914;0,092
;;;-0,0001912;0,092
;;;-0,000191;0,094
;;;-0,0001908;0,096
;;;-0,0001906;0,094
;;;-0,0001904;0,092
;;;-0,0001902;0,092
;;;-0,00019;0,092
;;;-0,0001898;0,094
;;;-0,0001896;0,09
;;;-0,0001894;0,092
;;;-0,0001892;0,088
;;;-0,000189;0,09
;;;-0,0001888;0,092
;;;-0,0001886;0,09
;;;-0,0001884;0,088
;;;-0,0001882;0,09
;;;-0,000188;0,094
;;;-0,0001878;0,09
;;;-0,0001876;0,09
;;;-0,0001874;0,09
;;;-0,0001872;0,09
;;;-0,000187;0,09
;;;-0,0001868;0,09
;;;-0,0001866;0,088
;;;-0,0001864;0,09
;;;-0,0001862;0,088
;;;-0,000186;0,088
;;;-0,0001858;0,09
;;;-0,0001856;0,09
;;;-0,0001854;0,09
;;;-0,0001852;0,088
;;;-0,000185;0,088
;;;-0,0001848;0,09
;;;-0,0001846;0,092
;;;-0,0001844;0,09
;;;-0,0001842;0,086
;;;-0,000184;0,09
;;;-0,0001838;0,088
;;;-0,0001836;0,088
;;;-0,0001834;0,09
;;;-0,0001832;0,09
;;;-0,000183;0,088
;;;-0,0001828;0,086
;;;-0,0001826;0,088
;;;-0,0001824;0,088
;;;-0,0001822;0,09
;;;-0,000182;0,086
;;;-0,0001818;0,086
;;;-0,0001816;0,088
;;;-0,0001814;0,086
;;;-0,0001812;0,088
;;;-0,000181;0,09
;;;-0,0001808;0,088
;;;-0,0001806;0,088
;;;-0,0001804;0,088
;;;-0,0001802;0,088
;;;-0,00018;0,088
;;;-0,0001798;0,09
;;;-0,0001796;0,088
;;;-0,0001794;0,088
;;;-0,0001792;0,088
;;;-0,000179;0,086
;;;-0,0001788;0,086
;;;-0,0001786;0,086
;;;-0,0001784;0,086
;;;-0,0001782;0,086
;;;-0,000178;0,086
;;;-0,0001778;0,086
;;;-0,0001776;0,086
;;;-0,0001774;0,084
;;;-0,0001772;0,086
;;;-0,000177;0,086
;;;-0,0001768;0,086
;;;-0,0001766;0,086
;;;-0,0001764;0,088
;;;-0,0001762;0,088
;;;-0,000176;0,082
;;;-0,0001758;0,084
;;;-0,0001756;0,084
;;;-0,0001754;0,084
;;;-0,0001752;0,086
;;;-0,000175;0,084
;;;-0,0001748;0,086
;;;-0,0001746;0,084
;;;-0,0001744;0,088
;;;-0,0001742;0,084
;;;-0,000174;0,084
;;;-0,0001738;0,084
;;;-0,0001736;0,086
;;;-0,0001734;0,086
;;;-0,0001732;0,084
;;;-0,000173;0,084
;;;-0,0001728;0,084
;;;-0,0001726;0,086
;;;-0,0001724;0,084
;;;-0,0001722;0,082
;;;-0,000172;0,082
;;;-0,0001718;0,084
;;;-0,0001716;0,084
;;;-0,0001714;0,084
;;;-0,0001712;0,084
;;;-0,000171;0,084
;;;-0,0001708;0,084
;;;-0,0001706;0,086
;;;-0,0001704;0,082
;;;-0,0001702;0,084
;;;-0,00017;0,084
;;;-0,0001698;0,082
;;;-0,0001696;0,084
;;;-0,0001694;0,082
;;;-0,0001692;0,082
;;;-0,000169;0,08
;;;-0,0001688;0,082
;;;-0,0001686;0,082
;;;-0,0001684;0,08
;;;-0,0001682;0,082
;;;-0,000168;0,082
;;;-0,0001678;0,08
;;;-0,0001676;0,08
;;;-0,0001674;0,082
;;;-0,0001672;0,08
;;;-0,000167;0,082
;;;-0,0001668;0,08
;;;-0,0001666;0,082
;;;-0,0001664;0,082
;;;-0,0001662;0,082
;;;-0,000166;0,082
;;;-0,0001658;0,082
;;;-0,0001656;0,082
;;;-0,0001654;0,08
;;;-0,0001652;0,082
;;;-0,000165;0,08
;;;-0,0001648;0,082
;;;-0,0001646;0,08
;;;-0,0001644;0,082
;;;-0,0001642;0,08
;;;-0,000164;0,078
;;;-0,0001638;0,082
;;;-0,0001636;0,082
;;;-0,0001634;0,078
;;;-0,0001632;0,08
;;;-0,000163;0,078
;;;-0,0001628;0,078
;;;-0,0001626;0,082
;;;-0,0001624;0,078
